hour,Février_2024,Février_2025,Avril_2024,Avril_2025
0,9.211206896551724,18.071428571428573,8.054166666666667,17.066666666666666
1,8.616379310344827,17.111607142857142,7.1375,17.0125
2,8.504310344827585,16.388392857142858,7.181034482758621,17.691666666666666
3,8.637931034482758,16.870535714285715,8.045833333333333,20.05
4,9.46551724137931,19.196428571428573,9.570833333333333,24.708333333333332
5,10.857758620689655,22.34375,11.245833333333334,28.6375
6,12.038793103448276,24.910714285714285,11.120833333333334,28.5375
7,12.663793103448276,25.616071428571427,10.966666666666667,29.094827586206897
8,12.556034482758621,24.040178571428573,10.25,27.375
9,12.413793103448276,23.491071428571427,9.716666666666667,25.50862068965517
10,11.525862068965518,23.075892857142858,9.183333333333334,21.586206896551722
11,10.96551724137931,22.375,9.245689655172415,19.258333333333333
12,10.254310344827585,21.526785714285715,9.295833333333333,18.091666666666665
13,10.642241379310345,20.587962962962962,9.541666666666666,16.85
14,10.982758620689655,20.455357142857142,9.508333333333333,16.341666666666665
15,10.47844827586207,20.433035714285715,9.545833333333333,16.345833333333335
16,10.780172413793103,21.607142857142858,10.204166666666667,16.65
17,10.056034482758621,21.638392857142858,11.158333333333333,17.3875
18,11.03448275862069,22.357142857142858,12.579166666666667,18.483333333333334
19,11.758620689655173,22.84375,12.308333333333334,17.69396551724138
20,12.629310344827585,21.3125,12.404166666666667,16.958333333333332
21,12.14655172413793,20.776785714285715,11.375,16.883333333333333
22,11.004310344827585,20.026785714285715,9.670833333333333,18.191666666666666
23,10.168103448275861,19.647321428571427,8.783333333333333,17.533333333333335
