hour,Février_2024,Février_2025,Avril_2024,Avril_2025
0,16.560344827586206,26.165178571428573,15.558333333333334,21.4375
1,15.112068965517242,23.776785714285715,13.329166666666667,20.620833333333334
2,14.797413793103448,21.727678571428573,13.581896551724139,20.766666666666666
3,15.301724137931034,22.03125,15.5,24.0375
4,16.517241379310345,24.959821428571427,19.05,29.633333333333333
5,20.745689655172413,28.482142857142858,24.545833333333334,35.99583333333333
6,23.09051724137931,32.45982142857143,25.929166666666667,34.791666666666664
7,26.224137931034484,33.995535714285715,27.570833333333333,37.185344827586206
8,28.788793103448278,33.64732142857143,26.770833333333332,35.55
9,28.13362068965517,34.799107142857146,25.991666666666667,34.32327586206897
10,26.125,35.625,24.395833333333332,29.185344827586206
11,23.94396551724138,35.160714285714285,25.30603448275862,28.308333333333334
12,22.650862068965516,33.97767857142857,27.895833333333332,27.270833333333332
13,24.969827586206897,33.879629629629626,26.420833333333334,26.904166666666665
14,24.788793103448278,33.24107142857143,24.283333333333335,25.658333333333335
15,22.857758620689655,32.339285714285715,22.1125,24.908333333333335
16,20.780172413793103,33.1875,21.183333333333334,25.183333333333334
17,19.405172413793103,33.629464285714285,22.470833333333335,26.279166666666665
18,20.689655172413794,34.799107142857146,23.883333333333333,27.0125
19,21.853448275862068,35.214285714285715,22.708333333333332,26.982758620689655
20,20.913793103448278,32.888392857142854,22.183333333333334,26.316666666666666
21,19.870689655172413,31.589285714285715,21.195833333333333,25.829166666666666
22,20.836206896551722,30.316964285714285,18.7625,25.820833333333333
23,18.00862068965517,29.125,16.754166666666666,23.1625
