hour,Février_2024,Février_2025,Avril_2024,Avril_2025
0,24.54741379310345,34.267857142857146,24.208333333333332,32.7375
1,21.021551724137932,30.995535714285715,20.929166666666667,30.845833333333335
2,20.362068965517242,29.03125,22.474137931034484,33.5
3,22.482758620689655,32.41517857142857,28.579166666666666,40.25833333333333
4,29.887931034482758,39.611607142857146,42.391666666666666,52.3875
5,43.224137931034484,48.580357142857146,50.86666666666667,58.69166666666667
6,50.06896551724138,55.21875,47.74166666666667,55.30416666666667
7,50.883620689655174,53.78125,43.4375,52.28879310344828
8,47.47844827586207,48.41517857142857,37.2875,46.11666666666667
9,42.4051724137931,43.97767857142857,35.53333333333333,43.28448275862069
10,39.03879310344828,42.901785714285715,31.808333333333334,38.918103448275865
11,36.2801724137931,41.357142857142854,30.620689655172413,37.94166666666667
12,34.39655172413793,40.625,31.779166666666665,37.99166666666667
13,35.3448275862069,41.09722222222222,32.4375,39.12083333333333
14,35.793103448275865,43.254464285714285,32.38333333333333,39.06666666666667
15,37.547413793103445,43.80357142857143,33.958333333333336,40.045833333333334
16,38.064655172413794,48.357142857142854,36.87916666666667,43.604166666666664
17,40.01293103448276,51.870535714285715,40.74166666666667,48.541666666666664
18,41.64224137931034,54.825892857142854,40.78333333333333,52.958333333333336
19,41.18103448275862,55.02232142857143,39.733333333333334,52.2801724137931
20,36.98706896551724,50.4375,39.725,51.075
21,33.706896551724135,46.401785714285715,37.270833333333336,50.30833333333333
22,32.39655172413793,42.15625,33.12916666666667,46.82083333333333
23,29.262931034482758,38.629464285714285,27.458333333333332,39.1
